participant_id,age,sex,handedness
A00055122,15,MALE,RIGHT
A00055215,22,FEMALE,RIGHT
A00055262,9,MALE,RIGHT
A00055267,13,MALE,RIGHT
A00055332,15,MALE,RIGHT
A00055352,59,FEMALE,RIGHT
A00055353,68,FEMALE,RIGHT
A00055373,28,MALE,RIGHT
A00055446,29,FEMALE,RIGHT
A00055447,36,MALE,AMBIDEXTEROUS
A00055462,15,MALE,RIGHT
A00055541,9,MALE,RIGHT
A00055542,29,FEMALE,RIGHT
A00055612,8,FEMALE,LEFT
A00055624,10,FEMALE,RIGHT
A00055692,56,FEMALE,LEFT
A00055727,8,FEMALE,RIGHT
A00055728,9,FEMALE,RIGHT
A00055738,25,FEMALE,RIGHT
A00055763,36,MALE,RIGHT
A00055765,9,MALE,RIGHT
A00055832,6,FEMALE,RIGHT
A00055866,9,FEMALE,RIGHT
A00055867,15,MALE,RIGHT
A00055903,8,FEMALE,RIGHT
A00055906,15,MALE,RIGHT
A00055907,7,FEMALE,RIGHT
A00055908,10,MALE,RIGHT
A00055920,9,FEMALE,RIGHT
A00055921,7,FEMALE,RIGHT
A00055946,7,FEMALE,RIGHT
A00055962,36,FEMALE,RIGHT
A00055991,15,FEMALE,RIGHT
A00056022,9,MALE,RIGHT
A00056097,26,MALE,RIGHT
A00056098,34,FEMALE,RIGHT
A00056138,15,MALE,RIGHT
A00056164,62,MALE,RIGHT
A00056198,9,FEMALE,AMBIDEXTEROUS
A00056295,12,MALE,RIGHT
A00056372,68,FEMALE,RIGHT
A00056419,6,FEMALE,RIGHT
A00056420,9,MALE,RIGHT
A00056452,40,FEMALE,AMBIDEXTEROUS
A00056453,17,MALE,AMBIDEXTEROUS
A00056470,12,FEMALE,RIGHT
A00056489,36,MALE,RIGHT
A00056556,38,MALE,RIGHT
A00056605,14,FEMALE,LEFT
A00056627,22,FEMALE,RIGHT
A00056628,13,MALE,RIGHT
A00056679,9,FEMALE,RIGHT
A00056703,16,MALE,RIGHT
A00056830,8,FEMALE,RIGHT
A00056898,22,FEMALE,RIGHT
A00056919,25,MALE,RIGHT
A00056920,10,MALE,RIGHT
A00056949,33,FEMALE,RIGHT
